"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","cd1","cd2","cpa","ldm","sp","dbh0","mla","ssla","aldm","sla","sla2"
100509,8,8,18,1.59,49,1,4,"simple",154,101,12216.0830334839,3.04,"Amaioua guianensis",13,110.958263702172,443.833054808688,0.76,14.5997715397595,0.156812012016355
100577,8,8,18,1.574,66,1,5,"simple",140,107,11765.2644876938,3.07,"Amaioua guianensis",14,89.1564170694746,445.782085347373,0.614,14.520589099263,0.117100147513531
230438,6,7,26,1.588,36,2,6,"simple",178,87,12162.6759583729,5.03,"Amaioua guianensis",15,122.968818862521,737.812913175126,0.838333333333333,14.6682487708773,0.177252127818811
113296,9,9,15,0.95,112,1,10,"simple",111,147,12815.3418321562,1.86,"Amaioua sp.1.FITO",10,33.978164184632,339.78164184632,0.186,18.2678302067914,0.154800590994355
240829,10,10,5,1.583,40,1,6,"simple",158,106,13153.8484405805,8.42,"Ampelocera edentula",15,210.210126851276,1261.26076110766,1.40333333333333,14.9793439561479,0.281011938941487
111518,8,8,17,1.963,171,1,5,"simple",123,170,16422.6755966406,3.06,"Amphirrhox longifolia",15,81.9820540368275,409.910270184138,0.612,13.3957604635339,0.035946648853845
113512,9,9,14,1.815,77,1,5,"simple",80,150,9424.77796076938,3.14,"Amphirrhox longifolia",16,86.2210326412591,431.105163206295,0.628,13.7294637963788,0.0646989576486128
113649,9,9,14,2.68,112,1,5,"simple",109,230,19689.931956374,3.99,"Amphirrhox longifolia",29,115.205477239228,576.027386196138,0.798,14.4367765963944,0.15342387124072
220944,7,8,5,1.371,77.5,1,5,"simple",151,115,13638.4391073967,3.33,"Amphirrhox longifolia",12,110.914339237295,221.828678474591,0.666,16.6538046902846,0.267232465705184
113716,9,9,14,2.211,165,1.25,5,"simple",173,151,20516.9562224315,2.74,"Anacardium parvifolium",19,73.5567048773305,367.783524386653,0.548,13.4227563644764,0.0202133343005825
120344,8,8,16,2.31,136,1,5,"simple",154,194,23464.5555296622,4.64,"Anacardium parvifolium",16,156.702778942345,783.513894711725,0.928,16.886075317063,0.334382351915532
132938,10,10,7,1.611,24,1,5,"simple",108,163,13826.1492684487,3.29,"Anacardium parvifolium",11,313.956227395096,1569.78113697548,0.658,47.7137123700754,1.31787100170847
220931,7,8,5,3.012,200,1,8,"simple",134,134,14102.6094219646,3.82,"Anacardium parvifolium",27,77.9028244417226,623.222595533781,0.4775,16.3147276317744,0.193204745651228
113715,9,9,14,3.34,583,1.25,5,"simple",181,175,24877.4868256142,1.93,"Anacardium spruceanum",28,61.1895583199169,305.947791599585,0.386,15.8522171813256,0.130268192870344
111539,8,8,17,2.077,112,1,5,"simple",174,122,16672.432212601,2.57,"Aniba canelilla",16,73.4259879854808,367.129939927404,0.514,14.285211670327,0.0721957838589273
132607,8,8,22,2.048,192,1.5,5,"simple",90,94,6644.46846234241,1.99,"Aniba canelilla",19,57.3336849905247,286.668424952624,0.398,14.4054484900816,0.0394840117523888
220371,7,8,2,1.332,144,1,9,"simple",62,54,2629.51305105466,3.05,"Aniba canelilla",12,53.5804419813721,482.223977832349,0.338888888888889,15.8106222240114,0.106727886487242
113749,9,9,14,3.354,133,1.75,5,"simple",104,187,15274.4234817536,1.83,"Aniba megaphylla",29,53.6504413207853,268.252206603926,0.366,14.6585905248047,0.0434373523706907
170165,10,10,7,2.178,43,1,5,"simple",86,89,6011.43754264407,7.7,"Aniba panurensis",22,150.144935935817,750.724679679085,1.54,9.74967116466344,-0.133495781598524
172330,10,10,4,1.863,264,1,10,"simple",100,120,9424.77796076938,3.54,"Aniba panurensis s.l.",17,50.0623407917699,500.623407917699,0.354,14.1419041784661,0.00219713524071814
220720,7,8,5,1.377,189,1,10,"simple",119,119,11122.0233918713,1,"Aniba sp.1.FITO",13,16.3655971078042,163.655971078042,0.1,16.3655971078042,-0.054864371328953
90356,8,8,19,1.701,162,1.25,5,"simple",102,100,8011.06126665397,1.26,"Aniba sp.p4.PP",16,24.4753052074256,122.376526037128,0.252,9.71242270135935,-0.4281441987621
113373,9,9,15,1.417,9,1,10,"simple",143,219,24596.3142831179,2.6,"Aniba sp.p5.PP",13,39.902337085674,399.02337085674,0.26,15.3470527252592,0.0343946765420874
122794,9,9,15,1.506,45,1.25,5,"simple",37,79,2295.71883161074,3.46,"Aniba terminalis",15,87.8952132582085,439.476066291043,0.692,12.7016204130359,0.00247620478072144
113548,9,9,14,2.908,130,1.5,2,"simple",221,224,38880.3506808273,7.84,"Aniba williamsii",22,377.842516296174,755.685032592347,3.92,9.638839701433,0.00518194339479281
113624,9,9,14,2.567,117,1,5,"simple",112,141,12403.0077963725,3.09,"Aniba williamsii",26,77.1830710686633,385.915355343316,0.618,12.4891700758355,-0.0325622766420574
113701,9,9,14,2.058,56,1.25,5,"simple",137,138,14848.7376771922,1.86,"Annona foetida",17,50.4437527678338,252.218763839169,0.372,13.5601485935037,-0.0318414622607253
111806,8,8,16,2.016,73,1,3,"simple",113,206,18282.4984475658,6.66,"Aspidosperma carapanauba",16,223.559871647928,670.679614943784,2.22,10.0702644886454,-0.0423832938554094
122745,9,9,15,1.764,115.5,1,5,"simple",155,107,13025.8285399467,8.33,"Aspidosperma carapanauba",12,162.614635626053,813.073178130262,1.666,9.76078245054337,-0.119721595951036
230474,6,7,26,2.544,930,1.5,11,"simple",109,120,10273.0079772386,4.27,"Aspidosperma spruceanum",25,41.5568197806256,457.125017586882,0.388181818181818,10.7055039247513,-0.261377607241479
242471,10,10,5,3.248,819,1.25,10,"simple",173,254,34511.9660960107,2.29,"Aspidosperma williamsii",29,52.7430646321878,527.430646321878,0.229,23.0319059529204,0.419953761129143
122285,10,10,6,1.912,590,1,20,"simple",138,135,14631.9677840945,0.8,"Bocageopsis multiflora",17,9.51693982296035,66.6185787607224,0.04,23.7923495574009,0.172102710438008
122651,9,9,14,3.41,420,1,10,"simple",214,159,26723.9579077616,0.87,"Brosimum guianense",29,15.6032917586392,140.429625827753,0.087,17.9348181133784,0.0143237011192145
113192,9,9,15,3.328,64,1.25,6,"simple",115,164,14812.6093616759,7.27,"Brosimum parinarioides",30,145.701707363657,874.21024418194,1.21166666666667,12.0249001950748,0.0377250883492301
122049,10,10,6,2.566,290,1,10,"simple",200,160,25132.7412287183,1.46,"Brosimum rubescens",23,26.2194610427202,262.194610427202,0.146,17.9585349607673,0.0988211106579443
121957,10,10,6,1.403,396,1,15,"simple",171,100,13430.3085940964,1.78,"Brosimum sp.1.PP",14,22.6817342099849,294.862544729804,0.118666666666667,19.1138209634704,0.127863407434297
122518,9,9,14,1.496,66,1.25,5,"simple",152,92,10983.0079169499,2.51,"Brosimum sp.3.FITO",10,81.0625058573039,405.312529286519,0.502,16.1479095333275,0.190966124842271
113384,9,9,15,2.805,125,1,15,"simple",163,161,20611.2040020392,1.54,"Buchenavia congesta",29,24.1450057745101,362.175086617652,0.102666666666667,23.51786276738,0.31194274798781
113050,9,9,22,2.123,232,1,15,"simple",269,90,19014.4895358522,2.95,"Calyptranthes cuspidata",21,26.4335644667379,396.503467001069,0.196666666666667,13.4407954915617,-0.143087248193362
132921,10,10,7,1.422,186,1,11,"simple",108,89,7549.24714657627,5.76,"Calyptranthes paniculata",10,41.243546313218,453.679009445398,0.523636363636364,7.87637169176037,-0.52017749538749
100691,8,8,19,1.719,408,1,5,"simple",106,115,9574.00361181489,1.65,"Casearia javitensis",13,52.233396113213,261.166980566065,0.33,15.8283018524888,0.103575063401355
122559,9,9,14,1.117,48,1,5,"simple",107,78,6554.9330717151,1.68,"Casearia javitensis",12,39.0061405121069,195.030702560534,0.336,11.608970390508,-0.203551483564569
122758,9,9,15,3.75,264,1.5,6,"simple",203,231,36829.6760761965,4.04,"Casearia javitensis",28,107.84634441339,647.07806648034,0.673333333333333,16.0167838237708,0.2299903392472
142643,10,10,7,2.509,30,1.25,16,"simple",184,58,8381.76919977757,1.49,"Casearia sylvestris",21,20.442464948836,327.079439181377,0.093125,21.9516402135152,0.227352347450671
142743,10,10,7,1.2,44,1,20,"simple",112,95,8356.63645854885,1.43,"Casearia sylvestris",10,14.5635868908478,218.453803362717,0.0715,20.3686529941927,0.110052697967522
113328,9,9,15,2.039,7,1.25,2,"simple",69,77,4172.82044213064,6.12,"Chimarrhis sp.A.PP",19,488.458574406252,976.917148812504,3.06,15.9626985100082,0.469842945256863
142667,10,10,7,1.616,55,1.5,2,"simple",94,136,10040.530120873,7.16,"Chromolucuma rubriflora",14,622.278364265346,1244.55672853069,3.58,17.3820772141158,0.580243908115705
113571,9,9,14,2.37,31,1,2,"simple",190,137,20443.9141932356,9.13,"Chrysophyllum amazonicum",20,412.778602867453,825.557205734906,4.565,9.0422475984108,-0.034237469069023
113158,9,9,22,1.534,48,1.75,2,"simple",86,110,7429.86662573986,2.49,"Chrysophyllum manaosense",16,190.636193721574,381.272387443148,1.245,15.312144074022,0.283752049280743
133208,10,10,7,2.32,99,1.5,2,"simple",160,176,22116.8122812721,3.47,"Chrysophyllum manaosense",16,514.8980991889,1029.7961983778,1.735,29.6771238725591,0.998802422022127
113580,9,9,14,2.829,300,1,5,"simple",167,146,19149.5780199566,3.57,"Chrysophyllum pomiferum",25,74.7596997272348,373.798498636174,0.714,10.470546180285,-0.185658857151675
111798,8,8,16,1.484,174,1,10,"simple",124,110,10712.8309487412,1.7,"Chrysophyllum sparsiflorum",15,29.8329031658043,298.329031658043,0.17,17.5487665681202,0.100191147269997
