TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area pred (cm^2),Area real (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,06-07,01_PALSANDE,,3507,2550,1,,575.6327909,7954772,,,,,Y,N,MODERATE HOLES
,,01_PALSANDE,,3507,2550,2,,560.5114139,7745807,,,,,N,N,
,,02_TAPIG_001,,3507,2550,1,,81.62410239,1127978,,,,,N,N,
,,02_TAPIG_001,,3507,2550,2,,78.22715649,1081035,,,,,N,N,
,,02_TAPIG_001,,3507,2550,3,,87.90689287,1214801,,,,,N,N,
,,02_TAPIG_002,,3507,2550,1,,63.25007175,874064,,,,,N,N,
,,02_TAPIG_002,,3507,2550,2,,39.89238723,551280,,,,,N,N,
,,02_TAPIG_002,,3507,2550,3,,99.10683544,1369575,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,1,,37.86216517,523224,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,2,,38.8208329,536472,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,3,,61.95231004,856130,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,1,,150.1804955,2075371,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,2,,47.70102824,659189,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,3,,60.17231995,831532,,,,,N,N,
,,03_POUTERIA_03,,3507,2550,1,,116.1085703,1604525,,,,,N,N,
,,03_POUTERIA_03,,3507,2550,2,,138.6247431,1915680,,,,,N,N,
,,03_POUTERIA_04,,3507,2550,1,,41.93729902,579539,,,,,N,N,
,,03_POUTERIA_04,,3507,2550,2,,47.75747154,659969,,,,,N,N,
,,05_RINORA_001,,3507,2550,1,,43.91643266,606889,,,,,N,N,
,,05_RINORA_001,,3507,2550,2,,39.839345,550547,,,,,N,N,
,,05_RINORA_001,,3507,2550,3,,29.39313757,406189,,,,,N,N,
,,05_RINORA_001,,3507,2550,4,,43.00176175,594249,,,,,N,N,
,,05_RINORA_001,,3507,2550,5,,52.09854016,719959,,,,,N,N,
,,05_RINORA_02,,3507,2550,1,,40.76306131,563312,,,,,N,N,
,,05_RINORA_02,,3507,2550,2,,55.50800489,767075,,,,,N,N,
,,05_RINORA_02,,3507,2550,3,,50.44294241,697080,,,,,N,N,
,,05_RINORA_02,,3507,2550,4,,55.66213852,769205,,,,,N,N,
,,05_RINORA_02,,3507,2550,5,,48.92881472,676156,,,,,N,N,
,,06_DUGUETI_001,,3507,2550,1,,70.90211878,979809,,,,,Y,Y,MODERATE DAMAGE
,,06_DUGUETI_001,,3507,2550,2,,64.63452457,893196,,,,,N,N,
,,06_DUGUETI_001,,3507,2550,3,,79.8000431,1102771,,,,,N,N,
,,06_DUGUETI_02,,3507,2550,1,,76.27378416,1054041,,,,,N,N,
,,06_DUGUETI_02,,3507,2550,2,,97.39175514,1345874,,,,,Y,Y,SEVERE DAMAGE
,,07_MICROPHOLIS_001,,3507,2550,1,,41.11597665,568189,,,,,N,N,
,,07_MICROPHOLIS_001,,3507,2550,2,,33.63955512,464871,,,,,Y,Y,MODERATE
,,07_MICROPHOLIS_001,,3507,2550,3,,46.04506867,636305,,,,,N,N,
,,07_MICROPHOLIS_001,,3507,2550,4,,61.39974462,848494,,,,,Y,Y,SEVERE. HALF THE LEAF IS MISSING
,,07_MICROPHOLIS_001,,3507,2550,5,,50.24387123,694329,,,,,N,N,
,,07_MICROPHOLIS_001,,3507,2550,6,,31.5235103,435629,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,1,,35.39327737,489106,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,2,,44.04053555,608604,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,3,,29.53902179,408205,,,,,Y,Y,MODERATE
,,07_MICROPHOLIS_02,,3507,2550,4,,29.62035803,409329,,,,,N,Y,MODERATE DAMAGE
,,07_MICROPHOLIS_02,,3507,2550,5,,42.20750322,583273,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,6,,49.87351636,689211,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,1,,10.17072072,140551,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,3,,18.68743568,258245,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,4,,23.92740002,330657,,,,,Y,Y,MODERATE DAMAGE
,,07_MICROPHOLIS_03,,3507,2550,5,,15.88126298,219466,,,,,N,Y,SEVERE DAMAGE
,,08_MINGUADRA_001,,3507,2550,1,,74.49451769,1029453,,,,,N,N,
,,08_MINGUADRA_001,,3507,2550,2,,81.04990036,1120043,,,,,N,Y,MODERATE
,,08_MINGUADRA_001,,3507,2550,3,,97.31208325,1344773,,,,,N,N,
,,08_MINGUADRA_002,,3507,2550,1,,69.29883963,957653,,,,,Y,Y,MODERATE
,,08_MINGUADRA_002,,3507,2550,3,,59.33818929,820005,,,,,N,N,
,,08_MINGUADRA_002,,3507,2550,4,,100.6714003,1391196,,,,,N,N,
,,020_LECYTHIS_001,,3507,2550,1,,223.250037,3085132,,,,,N,N,
,,020_LECYTHIS_001,,3507,2550,2,,82.00473284,1133238,,,,,N,N,
,,020_LECTISPRANSA_02,,3507,2550,1,,278.1373827,3843630,,,,,Y,Y,SEVERE DAMAGE
,,020_LECTISPRANSA_02,,3507,2550,1,,250.7663625,3465385,,,,,N,N,
,,21_FABSIA_001,,3507,2550,1,,100.7491184,1392270,,,,,N,N,
,,21_FABSIA_001,,3507,2550,2,,108.9184176,1505163,,,,,N,N,
,,21_FABSIA_001,,3507,2550,3,,96.7517026,1337029,,,,,N,N,
,,21_FABASIA_02,,3507,2550,1,,47.16915869,651839,,,,,N,N,
,,21_FABASIA_02,,3507,2550,2,,54.18708696,748821,,,,,N,Y,MODERATE
,,21_FABASIA_02,,3507,2550,3,,70.57959598,975352,,,,,N,N,
,,21_FABASIA_02,,3507,2550,4,,87.65391111,1211305,,,,,Y,Y,MODERATE
,,21_FABASIA_03,,3507,2550,1,,51.02698583,705151,,,,,Y,Y,NO LEAF IS LEFT
,,21_FABASIA_03,,3507,2550,2,,52.88194421,730785,,,,,N,Y,SEVERE BORDER DAMAGE
,,21_FABASIA_03,,3507,2550,3,,86.03782367,1188972,,,,,Y,Y,MODERATE
,,21_FABASIA_03,,3507,2550,4,,98.89459416,1366642,,,,,Y,Y,SEVERE
,,21_FABASIA_04,,3507,2550,1,,76.61121378,1058704,,,,,N,N,
,,21_FABASIA_04,,3507,2550,2,,79.82298224,1103088,,,,,N,N,
,,21_FABASIA_04,,3507,2550,3,,54.04163692,746811,,,,,N,N,
,,21_FABASIA_04,,3507,2550,4,,61.85360663,854766,,,,,N,Y,SEVERE BORDER DAMAGE
,,21_FABASIA_05,,3507,2550,1,,72.43831724,1001038,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABASIA_05,,3507,2550,2,,48.31003696,667605,,,,,N,N,
,,21_FABASIA_05,,3507,2550,3,,59.600723,823633,,,,,Y,Y,MODERATE
,,21_FABASIA_05,,3507,2550,4,,109.9205032,1519011,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,1,,38.48608072,531846,,,,,Y,Y,HALF THE LEAF MISSING
,,21_FABACEAE_006,,3507,2550,2,,47.68395052,658953,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,3,,30.8560321,426405,,,,,N,N,
,,21_FABACEAE_006,,3507,2550,4,,55.41530763,765794,,,,,Y,Y,SEVERE 
,,22_PROTIO_001,,3507,2550,1,,41.67628494,575932,,,,,N,N,
,,22_PROTIO_001,,3507,2550,2,,32.19641573,444928,,,,,N,N,
,,22_PROTIO_001,,3507,2550,3,,36.60391378,505836,,,,,N,N,
,,22_PROTIO_001,,3507,2550,4,,44.76908829,618672,,,,,N,N,
