TRIP#,Date Collected,file name,plant ID,image height (px),image width (px),Leaf id,,Area real (px^2),Area pred (px^2),Blade length (px),Tip length (px),patiole length (px),Width (px),Have holes?,Borders are damaged?,Obs
,06-07,01_PALSANDE,,3507,2550,1,,7954772,,,,,,Y,N,MODERATE HOLES
,,01_PALSANDE,,3507,2550,2,,7745807,,,,,,Y,N,MINOR HOLES
,,02_TAPIG_001,,3507,2550,1,,1127978,,,,,,N,N,
,,02_TAPIG_001,,3507,2550,2,,1081035,,,,,,N,N,
,,02_TAPIG_001,,3507,2550,3,,1214801,,,,,,N,N,
,,02_TAPIG_002,,3507,2550,1,,874064,,,,,,N,N,
,,02_TAPIG_002,,3507,2550,2,,551280,,,,,,N,N,
,,02_TAPIG_002,,3507,2550,3,,1369575,,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,1,,523224,,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,2,,536472,,,,,,N,N,
,,03_POUTERIA_001,,3507,2550,3,,856130,,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,1,,2075371,,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,2,,659189,,,,,,N,N,
,,03_POUTERIA_02,,3507,2550,3,,831532,,,,,,N,N,
,,03_POUTERIA_03,,3507,2550,1,,1604525,,,,,,N,N,
,,03_POUTERIA_03,,3507,2550,2,,1915680,,,,,,N,N,
,,03_POUTERIA_04,,3507,2550,1,,579539,,,,,,N,N,
,,03_POUTERIA_04,,3507,2550,2,,659969,,,,,,N,N,
,,05_RINORA_001,,3507,2550,1,,606889,,,,,,N,N,
,,05_RINORA_001,,3507,2550,2,,550547,,,,,,N,N,
,,05_RINORA_001,,3507,2550,3,,406189,,,,,,N,N,
,,05_RINORA_001,,3507,2550,4,,594249,,,,,,N,N,
,,05_RINORA_001,,3507,2550,5,,719959,,,,,,N,N,
,,05_RINORA_02,,3507,2550,1,,563312,,,,,,N,N,
,,05_RINORA_02,,3507,2550,2,,767075,,,,,,N,N,
,,05_RINORA_02,,3507,2550,3,,697080,,,,,,N,N,
,,05_RINORA_02,,3507,2550,4,,769205,,,,,,N,N,
,,05_RINORA_02,,3507,2550,5,,676156,,,,,,N,N,
,,06_DUGUETI_001,,3507,2550,1,,979809,,,,,,Y,Y,MODERATE DAMAGE
,,06_DUGUETI_001,,3507,2550,2,,893196,,,,,,N,N,
,,06_DUGUETI_001,,3507,2550,3,,1102771,,,,,,N,N,
,,06_DUGUETI_02,,3507,2550,1,,1054041,,,,,,N,N,
,,06_DUGUETI_02,,3507,2550,2,,600290,,,,,,Y,Y,SEVERE DAMAGE
,,07_MICROPHOLIS_001,,3507,2550,1,,568189,,,,,,Y,N,MINOR
,,07_MICROPHOLIS_001,,3507,2550,2,,464871,,,,,,Y,Y,MODERATE
,,07_MICROPHOLIS_001,,3507,2550,3,,636305,,,,,,Y,N,MINOR
,,07_MICROPHOLIS_001,,3507,2550,4,,424207,,,,,,Y,Y,SEVERE. HALF THE LEAF IS MISSING
,,07_MICROPHOLIS_001,,3507,2550,5,,694329,,,,,,N,N,
,,07_MICROPHOLIS_001,,3507,2550,6,,435629,,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,1,,489106,,,,,,Y,Y,MINOR
,,07_MICROPHOLIS_02,,3507,2550,2,,608604,,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,3,,408205,,,,,,Y,Y,MODERATE
,,07_MICROPHOLIS_02,,3507,2550,4,,409329,,,,,,N,Y,MODERATE DAMAGE
,,07_MICROPHOLIS_02,,3507,2550,5,,583273,,,,,,N,N,
,,07_MICROPHOLIS_02,,3507,2550,6,,689211,,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,1,,140551,,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,2,,115214,,,,,,N,Y,THERE IS NOTHING LEFT FROM LEAF
,,07_MICROPHOLIS_03,,3507,2550,3,,258245,,,,,,N,N,
,,07_MICROPHOLIS_03,,3507,2550,4,,330657,,,,,,Y,Y,MODERATE DAMAGE
,,07_MICROPHOLIS_03,,3507,2550,5,,219466,,,,,,N,Y,SEVERE DAMAGE
,,08_MINGUADRA_001,,3507,2550,1,,1029453,,,,,,N,N,
,,08_MINGUADRA_001,,3507,2550,2,,1120043,,,,,,N,Y,MODERATE
,,08_MINGUADRA_001,,3507,2550,3,,1344773,,,,,,N,N,
,,08_MINGUADRA_002,,3507,2550,1,,957653,,,,,,Y,Y,MODERATE
,,08_MINGUADRA_002,,3507,2550,2,,122001,,,,,,N,Y,"NO LEAF, JUST MIDRIB"
,,08_MINGUADRA_002,,3507,2550,3,,820005,,,,,,N,N,
,,08_MINGUADRA_002,,3507,2550,4,,1391196,,,,,,N,N,
,,020_LECYTHIS_001,,3507,2550,1,,3085132,,,,,,N,N,MINOR SCRATCHES
,,020_LECYTHIS_001,,3507,2550,2,,1133238,,,,,,N,N,
,,020_LECTISPRANSA_02,,3507,2550,1,,3843630,,,,,,Y,Y,SEVERE DAMAGE
,,020_LECTISPRANSA_02,,3507,2550,1,,3465385,,,,,,Y,N,MINOR HOLES AND SCRATCHES
,,21_FABSIA_001,,3507,2550,1,,1392270,,,,,,Y,Y,MINOR
,,21_FABSIA_001,,3507,2550,2,,1505163,,,,,,Y,N,MINOR
,,21_FABSIA_001,,3507,2550,3,,1337029,,,,,,N,N,
,,21_FABASIA_02,,3507,2550,1,,651839,,,,,,N,Y,MINOR
,,21_FABASIA_02,,3507,2550,2,,748821,,,,,,N,Y,MODERATE
,,21_FABASIA_02,,3507,2550,3,,975352,,,,,,N,Y,MINOR
,,21_FABASIA_02,,3507,2550,4,,1211305,,,,,,Y,Y,MODERATE
,,21_FABASIA_03,,3507,2550,1,,305151,,,,,,Y,Y,NO LEAF IS LEFT
,,21_FABASIA_03,,3507,2550,2,,730785,,,,,,N,Y,SEVERE BORDER DAMAGE
,,21_FABASIA_03,,3507,2550,3,,1188972,,,,,,Y,Y,MODERATE
,,21_FABASIA_03,,3507,2550,4,,1366642,,,,,,Y,Y,SEVERE
,,21_FABASIA_04,,3507,2550,1,,1058704,,,,,,N,N,
