trip,yyyy,mm,dd,rhtimei,plantID,fam,gen,epi,ssp,spcod,mtime,rhtimef,ltype,scan,nleaf,nlunit,npet,muf,mup,cii,ef,ttype,td,tl,tmu,tv,tdm,ldm,pdm,prob,checkID
8,2017,8,20,1630,80769,Myristicaceae,Virola,guggenheimii,,MYRI_Virgug,4437,2807,simple,ok,2,2,2,1292,69,1.25,152,branch,587,102,328,359,126,512,13,,
8,2017,8,20,1630,80793,Lecythidaceae,Lecythis,prancei,,LECY_Lecpra,4113,2483,simple,ok,4,4,4,1118,60,1.25,188,branch,NA,NA,NA,NA,NA,488,21,,ok
8,2017,8,19,1630,80854,Burseraceae,Protium,hebetatum,forma B FITO,BURS_Proheb-B,4356,2726,simple,ok,5,5,5,1325,68,1.5,267,branch,601,104,340,314,172,253,6,,YES
8,2017,8,19,1630,80874,Sapotaceae,Pouteria,brachyandra,,SAPO_Poubra,4502,2872,simple,ok,3,3,3,152,16,1,155,branch,625,91,336,304,178,173,4,,YES
8,2017,8,20,1630,81241,Fabaceae,Zygia,racemosa,,FABA_Zygrac,4514,2884,bipinnate,ok?,1,,1,376,51,1,205,branch,494,105,259,220,143,140,19,,ok
8,2017,8,20,1630,81244,Apocynaceae,Malouetia,duckei,,APOC_Malduc,4440,2810,simple,ok,5,5,5,502,13,1,207,branch,685,96,381,355,194,182,4,,ok
8,2017,8,19,1630,90356,Lauraceae,Aniba,sp.p4.PP,,LAUR_Anisp4,3925,2295,simple,ok,5,5,5,273,19,1.25,203,branch,377,87,112,104,55,126,7,qr,
8,2017,8,19,1630,90373,Chrysobalanaceae,Hirtella,obidensis,,CHRY_Hirobi,3546,1916,simple,ok,5,5,5,710,20,2.5,161,branch,560,102,297,260,171,315,5,trait,ok
8,2017,8,19,1630,90381,Burseraceae,Protium,tenuifolium,var.1 FITO,BURS_Proten-1,4214,2584,odd-pinnate,"ok?, but image 002 with wrong id (381)",1,,1,521,164,2.5,163,branch,486,108,216,217,88,305,84,,ok
8,2017,8,19,1630,90393,Sapotaceae,Micropholis,guyanensis,,SAPO_Micguy,3919,2289,simple,ok,3,3,3,1263,60,2,253,branch,390,91,136,128,63,574,22,,
8,2017,8,19,1630,90444,Fabaceae,Inga,sp.30.FITO,,FABA_Ings30,4220,2590,even-pinnate,ok?,0.5,,1,1272,766,1.75,208,branch,NA,NA,NA,NA,NA,546,327,,
8,2017,8,19,1630,90445,Dichapetalaceae,Tapura,guianensis,,DICH_Tapgui,4456,2826,simple,ok,5,5,5,1212,30,1.75,414,branch,558,103,341,302,164,369,8,qr;rgr,
8,2017,8,18,1300,90470,Elaeocarpaceae,Sloanea,pubescens,,ELAE_Slopub,3523,2223,simple,ok,1,1,1,1346,146,1.25,270,branch,NA,NA,NA,NA,NA,660,54,,ok
8,2017,8,19,1630,90472,Simaroubaceae,Simaba,polyphylla,,SIMA_Simpol,4331,2701,compound,ok?,0.5,,1,294,191,1.25,162,branch,NA,NA,NA,NA,NA,131,72,rgr,ok
8,2017,8,19,1630,90548,Lecythidaceae,Eschweilera,atropetiolata,,LECY_Escatr,4403,2773,simple,ok,5,5,5,1633,93,1.5,189,branch,573,103,308,270,155,758,36,,
8,2017,8,19,1630,90550,Elaeocarpaceae,Sloanea,pubescens,,ELAE_Slopub,4432,2802,simple,ok,2,2,2,807,51,1.25,336,branch,618,98,379,326,191,385,16,,ok
8,2017,8,19,1630,90553,Burseraceae,Protium,hebetatum,forma B FITO,BURS_Proheb-B,4208,2578,odd-pinnate,ok?,0.5,,1,748,702,1.25,157,branch,751,102,479,411,282,429,347,,
8,2017,8,19,1630,90558,Lauraceae,Aniba,terminalis,,LAUR_Aniter,4458,2828,simple,ok,5,5,5,502,28,1,179,branch,374,116,163,142,74,203,9,rgr,
8,2017,8,19,1630,90563,Sapotaceae,Pouteria,resinosa,,SAPO_Poures,4428,2798,simple,ok,5,5,5,374,20,1,152,branch,595,75,286,247,179,187,8,,
8,2017,8,19,1630,90575,Urticaceae,Pourouma,sp.A.PP,,URTI_PouspA,4158,2528,simple,ok,1,1,1,2453,1289,1.25,266,branch,NA,NA,NA,NA,NA,1026,364,,
8,2017,8,19,1630,90576,Lecythidaceae,Eschweilera,romeu-cardosoi,,LECY_Escrom,3450,1820,simple,ok,5,5,5,356,15,1,182,branch,474,97,233,201,135,182,6,,
8,2017,8,19,1630,90578,Rubiaceae,Ixora,intensa,,RUBI_Ixoint,3938,2308,simple,ok,4,4,4,1029,216,1,53,branch,561,95,322,278,183,487,23,,ok
8,2017,8,19,1630,90585,Lecythidaceae,Eschweilera,atropetiolata,,LECY_Escatr,3857,2227,simple,ok,5,5,5,1497,108,1.25,185,branch,481,89,202,170,97,763,43,qr,
8,2017,8,19,1630,90603,Annonaceae,Onychopetalum,amazonicum,,ANNO_Onyama,3906,2276,simple,ok,5,5,5,1320,86,1.25,166,branch,NA,NA,NA,NA,NA,652,26,rgr,ok
8,2017,8,19,1630,90617,Sapotaceae,Micropholis,venulosa,,SAPO_Micven,3912,2282,simple,ok,20,20,20,166,5,1.25,111,branch,322,86,85,78,50,77,2,,
8,2017,8,19,1630,90620,Myristicaceae,Virola,sebifera,Forma A PP,MYRI_Virseb,3847,2217,simple,ok,5,5,5,1037,36,NA,158,branch,422,85,150,157,54,400,9,,
8,2017,8,19,1630,90628,Ochnaceae,Ouratea,odora,,OCHN_Ourodo,3602,1972,simple,ok,2,2,2,619,48,1,166,branch,228,106,258,217,145,318,23,,ok
8,2017,8,19,1630,90629,Lecythidaceae,Eschweilera,pseudodecolorans,,LECY_Escpse,4037,2407,simple,ok,10,10,10,396,14,1,135,branch,370,81,109,92,60,180,4,,
8,2017,8,19,1630,90645,Olacaceae,Minquartia,guianensis,verde MV,OLAC_Mingui-V,4412,2782,simple,ok,6,6,6,477,26,1,180,branch,456,95,184,166,99,217,8,,ok
8,2017,8,19,1630,90646,Clusiaceae,Tovomita,sp.3.FITO,,CLUS_Tovsp3,4410,2780,simple,ok,3,3,3,1692,145,1.25,255,branch,630,100,390,324,214,425,29,,ok
8,2017,8,19,1630,90647,Sapotaceae,Pouteria,retinervis,,SAPO_Pouren,3853,2223,simple,ok,5,5,5,964,140,1,170,branch,430,75,141,126,64,362,43,,
8,2017,8,19,1630,90654,Lecythidaceae,Corythophora,alta,,LECY_Coralt,3559,1929,simple,ok,5,5,5,717,24,2,146,branch,570,98,270,240,147,356,10,,
8,2017,8,20,1630,90658,Myristicaceae,Compsoneura,ulei,,MYRI_Comule,4434,2804,simple,ok,5,5,5,550,30,1.25,205,branch,425,103,156,151,72,210,7,,
8,2017,8,20,1630,90660,Humiriaceae,Duckesia,verrucosa,,HUMI_Ducver,4101,2471,simple,ok,20,20,20,76,1,1.25,71,branch,242,91,61,52,30,31,0,,
8,2017,8,20,1630,90665,Lecythidaceae,Eschweilera,pseudodecolorans,,LECY_Escpse,4043,2413,simple,ok,5,5,5,617,19,1.25,155,branch,411,80,135,114,74,282,7,,
