trip,dd,mm,yyyy,plantID,cii,tnlc,bang,btype,lblade,phylotax,phylotax2,growth-leaves,growth-branches,d10,d10h,dbh,dbhh,d1b,s1bh,sh,cmax,cmean,cmin,cd1,cd2,rhf,nl,np,lhm,phm,ef,rhs,td,tl,tv,thm,ldm,pdm,ttype,tdm,QC1,scan
6,21,7,2017,240278,1,NA,NA,vertical,odd-pinnate,alternate,spiral,r,?,2882,10,2776,-10,2455,54,310,361,312,166,110,84,801,0.5,1,407,211,162,2001,774,105,446,495,197,90,NA,245,Q,ok
6,21,7,2017,240277,1,NA,NA,both,even-pinnate,alternate,spiral,r,???,2500,80,2116,-10,2042,76,307,387,373,320,144,126,2047,2,2,302,96,97,1100,691,99,339,398,144,45,NA,220,YES,ok
6,21,7,2017,240285,1.5,NA,NA,horizontal,geminate-pinnate,alternate,spiral,???,???,2822,30,2628,-10,2445,77,410,446,424,320,248,204,2209,1,1,1313,146,205,1100,671,98,376,439,566,60,NA,247,YES,"ok, but image 002 had wrong id (240258)"
6,21,7,2017,240284,1.5,NA,NA,vertical,simple,opposite,in between,r,r,2995,40,2908,-10,2427,73,280,351,360,293,238,144,2041,10,10,377,11,150,1100,526,97,194,222,136,4,NA,119,YES,ok
6,21,7,2017,240286,1,NA,NA,horizontal,simple,alternate,distic,r,?,1723,10,1302,-10,1148,71,178,193,178,123,115,88,758,5,5,560,NA,210,1958,596,102,375,438,256,9,NA,247,YES,ok
6,21,7,2017,240260,1.5,NA,NA,vertical,even-pinnate,alternate,spiral,?,c,1991,10,1477,-10,1276,76,160,181,173,155,94,75,2100,1,1,967,445,235,1100,NA,NA,NA,NA,345,191,NA,NA,YES,ok
6,21,7,2017,240005,1,187,NA,both,simple,alternate,distic,r,?,2053,10,1475,-10,1208,64,93,103,85,59,85,72,2107,5,5,897,58,163,1100,613,109,343,393,412,21,NA,191,YES,ok
6,21,7,2017,240006,1,22.5,NA,up-arched,simple,alternate,spiral,r,r,1544,10,1227,-10,894,49,93,132,51,2,181,137,2110,5,5,769,47,163,1100,509,113,245,238,335,17,NA,109,YES,ok
6,21,7,2017,240029,1,40,30;60,both,even-pinnate,alternate,distic,c,?,1892,10,1803,-10,1290,82,189,217,161,117,117,117,645,2,2,1290,121,309,1845,408,113,154,175,NA,NA,NA,82,YES,ok
6,21,7,2017,240031,1,1152,30,horizontal,simple,alternate,distic,r,?,3959,10,2892,-10,2766,81,356,423,336,259,259,245,2054,7,7,665,16,203,1100,545,101,244,282,310,7,NA,168,YES,ok
6,21,7,2017,240032,1,NA,NA,without,odd-pinnate,alternate,spiral,?,???,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936,1,1,603,260,125,1100,NA,NA,NA,NA,294,116,NA,NA,NO,ok
6,21,7,2017,240152,1,189,NA,up-arched,simple,alternate,spiral,r,???,2240,10,1774,-10,1352,77,192,240,191,80,190,125,2143,5,5,925,57,133,1100,504,110,263,295,340,14,NA,130,YES,ok
6,21,7,2017,240153,1,35,NA,both,alternipinnate,alternate,distic,?,???,1988,10,1405,-10,1162,76,101,169,137,37,143,76,2151,2,2,375,63,135,1100,438,113,212,216,159,25,NA,111,YES,ok
6,21,7,2017,240398,1.5,NA,NA,horizontal,odd-pinnate,alternate,in between,c,???,2585,10,1951,-10,1691,75,255,313,250,75,146,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,NA
6,21,7,2017,240394,1,NA,30,horizontal,simple,alternate,distic,r,???,3250,50,2995,-10,2801,75,353,411,274,72,301,150,643,6,6,479,15,200,1843,676,102,381,417,235,4,NA,235,YES,"ok, but image 2 had wrong id (242394)"
6,21,7,2017,240363,1,NA,NA,horizontal,simple,alternate,distic,r,???,2758,10,2244,-10,2079,80,403,405,367,297,232,206,2010,6,6,1323,66,299,1100,628,114,385,413,698,23,NA,226,YES,ok
6,21,7,2017,240362,1,NA,NA,horizontal,simple,alternate,distic,c,r,2069,10,1645,-10,1356,73,134,162,121,103,139,146,2203,10,10,807,27,264,1100,516,104,211,248,246,5,NA,124,YES,ok
6,21,7,2017,240367,1,NA,NA,horizontal,simple,alternate,distic,r,???,2279,10,1753,-10,1422,76,190,227,173,121,208,133,2213,6,6,305,12,162,1100,533,107,228,267,157,7,NA,149,YES,ok
6,21,7,2017,240366,1,NA,NA,vertical,simple,alternate,distic,???,???,2813,10,2680,-10,2384,75,361,478,422,335,188,147,2016,6,6,1135,79,206,1100,428,116,205,232,502,34,NA,115,YES,ok
6,21,7,2017,240356,1.25,NA,NA,vertical,simple,opposite,cruzada,?,r,2000,30,1512,-10,1255,68,89,198,133,65,138,107,2025,5,5,815,41,153,1100,405,115,167,197,283,13,NA,98,YES,ok
6,21,7,2017,240251,1.5,NA,NA,horizontal,simple,alternate,distic,r,???,3471,10,2646,-10,2121,68,238,268,139,31,228,156,707,5,5,457,13,186,1907,607,104,336,355,220,4,NA,157,YES,ok
6,21,7,2017,240252,1.5,NA,NA,horizontal,simple,alternate,distic,?,c,2095,70,1973,-10,1426,74,109,184,112,25,188,152,734,10,10,244,5,146,1934,417,103,189,225,111,0,NA,128,YES,ok
6,21,7,2017,240250,1.5,NA,NA,vertical,simple,opposite,cruzada,?,???,2507,10,1993,-10,2046,78,275,349,285,280,227,186,2135,5,5,617,42,215,1100,782,116,475,569,266,13,NA,318,YES,ok
6,21,7,2017,240375,1.5,NA,45,vertical,even-pinnate,alternate,in between,?,???,2656,30,2287,-10,1791,79,254,323,298,268,148,141,750,2,2,1089,159,184,1950,483,110,220,244,480,68,NA,136,YES,ok
6,21,7,2017,240379,1,NA,NA,vertical,simple,alternate,distic,r,???,2457,10,1987,-10,1903,79,224,317,282,199,194,168,2159,5,5,500,34,169,1100,640,118,385,470,229,10,NA,275,YES,ok
