"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","ldm","sp","dbh0"
240812,10,10,5,2076,70,1,3,"bipinnate",177,"Abarema piresii",20
113296,9,9,15,950,112,1,10,"simple",186,"Amaioua sp.1.FITO",10
240829,10,10,5,1583,40,1,6,"simple",842,"Ampelocera edentula",15
132754,8,8,23,2873,143,1.75,5,"simple",339,"Anacardium parvifolium",10
132938,10,10,7,1611,24,1,5,"simple",329,"Anacardium parvifolium",11
113195,9,9,15,1178,8,1,1,"compound",273,"Andira micrantha",12
170165,10,10,7,2178,43,1,5,"simple",770,"Aniba panurensis",22
172330,10,10,4,1863,264,1,10,"simple",354,"Aniba panurensis s.l.",17
113373,9,9,15,1417,9,1,10,"simple",260,"Aniba sp.p5.PP",13
122794,9,9,15,1506,45,1.25,5,"simple",346,"Aniba terminalis",15
111806,8,8,16,2016,73,1,3,"simple",666,"Aspidosperma carapanauba",16
122745,9,9,15,1764,115.5,1,5,"simple",833,"Aspidosperma carapanauba",12
242471,10,10,5,3248,819,1.25,10,"simple",229,"Aspidosperma williamsii",29
122285,10,10,6,1912,590,1,20,"simple",80,"Bocageopsis multiflora",17
202701,10,10,4,3130,238,1,3,"compound",251,"Bocoa viridiflora",30
202731,10,10,4,1506,20.5,1,2,"compound",393,"Bocoa viridiflora",15
122651,9,9,14,3410,420,1,10,"simple",87,"Brosimum guianense",29
113192,9,9,15,3328,64,1.25,6,"simple",727,"Brosimum parinarioides",30
122049,10,10,6,2566,290,1,10,"simple",146,"Brosimum rubescens",23
121957,10,10,6,1403,396,1,15,"simple",178,"Brosimum sp.1.PP",14
122518,9,9,14,1496,66,1.25,5,"simple",251,"Brosimum sp.3.FITO",10
113384,9,9,15,2805,125,1,15,"simple",154,"Buchenavia congesta",29
113050,9,9,22,2123,232,1,15,"simple",295,"Calyptranthes cuspidata",21
132921,10,10,7,1422,186,1,11,"simple",576,"Calyptranthes paniculata",10
90800,8,8,20,1543,80,1,6,"simple",86,"Casearia javitensis",15
122559,9,9,14,1117,48,1,5,"???",168,"Casearia javitensis",12
122758,9,9,15,3750,264,1.5,6,"simple",404,"Casearia javitensis",28
142643,10,10,7,2509,30,1.25,16,"compound",149,"Casearia sylvestris",21
142743,10,10,7,1200,44,1,20,"compound",143,"Casearia sylvestris",10
90813,8,8,20,1817,112,1,5,"simple",177,"Cassipourea guianensis",17
142523,8,8,23,1966,77,2,4,"simple",555,"Cathedra acuminata",11
113328,9,9,15,2039,7,1.25,2,"simple",612,"Chimarrhis sp.A.PP",19
142667,10,10,7,1616,55,1.5,2,"simple",716,"Chromolucuma rubriflora",14
100724,8,8,17,2525,20,1.5,2,"simple",662,"Chrysophyllum durifructum",23
113158,9,9,22,1534,48,1.75,2,"simple",249,"Chrysophyllum manaosense",16
133208,10,10,7,2320,99,1.5,2,"simple",347,"Chrysophyllum manaosense",16
202662,10,10,4,2683,66,1.25,3,"simple",872,"Conceveiba guianensis",13
173561,10,10,4,624,49,1,7,"simple",357,"Cordia nodosa",10
242315,10,10,5,1732,18,1,2,"simple",515,"Cordia trachyphylla",27
90654,8,8,19,2188,136,2,5,"simple",356,"Corythophora alta",17
100551,8,8,17,2298,264,1,5,"simple",235,"Corythophora alta",19
112976,9,9,22,2548,231,1,5,"simple",243,"Couepia guianensis",27
122658,9,9,14,1800,142.5,1,7,"simple",173,"Couepia guianensis",17
113116,9,9,22,2002,217.5,1,5,"simple",175,"Coussarea sp.6.FITO",18
113213,9,9,15,2111,440,1,10,"simple",265,"Coussarea sp.6.FITO",20
90747,8,8,20,2875,336,1.25,5,"simple",223,"Coussarea sp.9.FITO",28
112918,9,9,22,1627,7,1,1,"compound",368,"Derris negrensis",17
153641,10,10,7,1469,11,1.5,1,"bipinnate",291,"Dimorphandra parviflora",13
113287,9,9,15,2372,52,1,6,"simple",729,"Diospyros tarim/guianensis.FITO",23
132818,8,8,23,2069,400,1.25,5,"simple",119,"Duguetia echinophora",17
100533,8,8,18,2705,185,1,5,"simple",166,"Duguetia flagellaris",25
153713,10,10,7,1110,200,1.25,5,"simple",375,"Duguetia flagellaris",10
173548,10,10,4,1906,210,1,5,"simple",395,"Duguetia flagellaris",18
100663,8,8,18,2049,17,1.5,2,"simple",1219,"Dystovomita brasiliensis",18
122238,10,10,6,2100,40.5,1,5,"simple",628,"Endlicheria bracteata",22
113022,9,9,22,1493,16,1,1.5,"bipinnate",165,"Enterolobium schomburgkii",15
90585,8,8,19,1523,43,1.25,5,"simple",763,"Eschweilera atropetiolata",15
112881,9,9,22,1870,71.5,1.5,5,"simple",884,"Eschweilera bracteosa",19
113108,9,9,22,1297,57,1.125,5,"simple",560,"Eschweilera bracteosa",13
113460,9,9,15,1323,60,1,5,"simple",833,"Eschweilera bracteosa",12
100495,8,8,18,2565,120,1.5,3,"simple",661,"Eschweilera grandiflora",44
132717,8,8,21,2644,389.5,1.75,5,"simple",192,"Eschweilera pedicellata",20
90576,8,8,19,1340,75,1,5,"simple",182,"Eschweilera romeu-cardosoi",11
90696,8,8,20,1795,78,1,5,"simple",182,"Eschweilera romeu-cardosoi",18
100526,8,8,18,1567,299,1.25,8,"simple",339,"Eschweilera romeu-cardosoi",13
112950,9,9,22,1470,82.5,1,5,"simple",756,"Eschweilera truncata",12
