"id","trip","mm","dd","dbh","tnlc","cii","nl","lblade","area","nsl"
90575,8,8,19,2.675,10,1.25,1,"simple",314.63499492,5
90904,8,8,20,2.456,304,1,5,"simple",130.38669885,4
100598,8,8,18,1.338,117,1,5,"simple",95.9752695066667,3
100725,8,8,17,2.458,1530,1.5,15,"simple",10.728201277,13
100769,8,8,17,1.469,56,1,4,"simple",122.2964926,2
111411,8,8,16,1.359,8,1,0.5,"simple",129.947989676,5
111615,8,8,17,2.166,138,2,5,"simple",94.9224814066667,6
111675,8,8,16,1.77,61,1,4,"simple",188.1605645,3
111778,8,8,16,2.76,180,1.25,5,"simple",58.0020750866667,3
113507,9,9,14,2.812,480,1,5,"simple",63.7565176933333,3
113681,9,9,14,1.504,126,1,5,"simple",59.9875766866667,3
132304,8,8,22,2.55,126,1,5,"simple",51.73701359,2
132521,8,8,22,1.655,342,1,5,"simple",58.40322051,2
132532,8,8,22,1.484,60,1,5,"simple",196.4221268,3
220072,7,8,2,1.414,30,1.5,3,"simple",266.777626,2
220137,7,8,2,2.324,153,1.5,5,"simple",205.237551045,4
220296,7,8,2,2.5,260,1.5,7,"simple",57.8055848666667,6
220299,7,8,2,2.205,910,1.5,11,"simple",29.9782483458333,12
220335,7,8,2,1.511,85,1,3,"simple",120.6472266,2
220344,7,8,2,1.756,425,1,8,"simple",24.2815937866667,9
220656,7,8,3,1.776,180,1,5,"simple",63.313049444,10
220738,7,8,5,1.271,200,1,8,"simple",36.483230045,4
220762,7,8,5,2.108,200,1.25,5,"simple",75.6679232375,4
220944,7,8,5,1.371,77.5,1,5,"simple",110.91433945,2
230151,6,7,24,2.286,205,1,5,"simple",81.581371915,2
230303,6,7,26,1.44,110,2,12,"simple",31.62134535,15
230423,6,7,26,1.585,49,1,6,"simple",114.821228865,2
230464,6,7,26,1.962,135,1.5,6,"simple",41.5549835414286,7
230467,6,7,26,1.24,9,1.5,2,"simple",140.261080168333,6
230527,6,7,26,1.168,36,1,5,"simple",73.8933724333333,3
240151,6,7,21,1.18,275,1,7,"simple",61.913899655,10
